id;room_code;mode;bible_study_session_id;group_number;current_card_id;current_level;used_card_ids;pass_count;status;created_at;updated_at;timer_duration;timer_started_at;timer_running;sharing_mode;shared_member_ids;current_drawer_id;current_drawer_card_id;drawer_order
3e66d701-fa1b-408a-82ca-70a353141dc6;RUXS;session;2275728a-e362-4476-87ed-bcaf577ea1ef;39;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
2b9a0f3f-1526-434a-bb4d-f8bfd2ce2183;LHEF;session;2275728a-e362-4476-87ed-bcaf577ea1ef;40;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
0fd470fb-18a6-42a2-a306-32d9705031ba;KVAZ;session;2275728a-e362-4476-87ed-bcaf577ea1ef;41;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
d3ab97ec-fc16-4126-9185-b439e4841efc;ASX7;session;2275728a-e362-4476-87ed-bcaf577ea1ef;42;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
7eb500da-afd7-4811-804b-997ffc82c1f5;B3DX;session;2275728a-e362-4476-87ed-bcaf577ea1ef;43;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
64f2d2b5-917f-4b65-bd47-08218b895db3;RXM5;session;2275728a-e362-4476-87ed-bcaf577ea1ef;44;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
0e3ad133-ca06-416b-85ab-33bb480120e5;TECS;session;2275728a-e362-4476-87ed-bcaf577ea1ef;45;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
2db67773-76ed-4890-a7be-96e554480a3e;EJPC;session;2275728a-e362-4476-87ed-bcaf577ea1ef;46;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
608d9c9f-59da-489d-95dd-47291fd39f30;VRDL;session;2275728a-e362-4476-87ed-bcaf577ea1ef;47;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
d6d1140a-8126-456a-bcfa-be06bfaff305;7L7B;session;2275728a-e362-4476-87ed-bcaf577ea1ef;48;;L1;[];0;active;2026-01-29 03:10:26.271097+00;2026-01-29 03:10:26.271097+00;60;;false;false;[];;;[]
